Date,AAPL,FLS,GME,HRL,HSY,MSFT,SPG,SPY,TER,X
2019-02-14,42.4275016784668,46.18000030517578,11.369999885559082,43.279998779296875,108.56999969482422,106.30999755859375,184.0500030517578,273.7799987792969,39.11000061035156,22.520000457763672
2019-02-15,42.8125,46.869998931884766,11.329999923706055,43.439998626708984,108.83999633789062,107.91000366210938,184.3800048828125,276.3599853515625,39.560001373291016,22.799999237060547
2019-02-19,42.4275016784668,47.459999084472656,11.460000038146973,43.27000045776367,109.02999877929688,107.79000091552734,183.47000122070312,276.4800109863281,40.0,23.010000228881836
2019-02-20,42.79750061035156,47.33000183105469,11.229999542236328,43.29999923706055,109.58999633789062,107.86000061035156,181.75999450683594,277.80999755859375,40.66999816894531,23.389999389648438
2019-02-21,42.95000076293945,44.119998931884766,11.229999542236328,42.439998626708984,109.88999938964844,106.9000015258789,178.69000244140625,277.70001220703125,41.25,24.420000076293945
2019-02-22,42.89500045776367,46.560001373291016,11.020000457763672,41.22999954223633,109.70999908447266,110.05000305175781,182.61000061035156,278.1099853515625,40.58000183105469,24.260000228881836
2019-02-25,43.540000915527344,46.93000030517578,11.380000114440918,43.0,110.31999969482422,111.76000213623047,184.3699951171875,280.7300109863281,41.689998626708984,24.25
2019-02-26,43.4275016784668,46.060001373291016,11.539999961853027,42.619998931884766,109.7699966430664,111.26000213623047,183.55999755859375,279.1300048828125,41.810001373291016,23.75
2019-02-27,43.3025016784668,45.52000045776367,11.65999984741211,41.91999816894531,109.3499984741211,111.69000244140625,182.58999633789062,278.5199890136719,41.310001373291016,24.020000457763672
2019-02-28,43.58000183105469,45.369998931884766,11.6899995803833,42.900001525878906,109.80000305175781,112.04000091552734,181.16000366210938,278.9599914550781,40.75,23.739999771118164
2019-03-01,43.56999969482422,44.790000915527344,11.880000114440918,43.31999969482422,111.12000274658203,112.88999938964844,181.16000366210938,280.44000244140625,41.380001068115234,22.549999237060547
2019-03-04,43.92250061035156,45.0,11.789999961853027,43.5,112.23999786376953,113.0199966430664,177.3800048828125,281.6000061035156,41.13999938964844,22.350000381469727
